Probe,1500Hz,Staircase 2,,,
Delta,LeadIn?,Reversal?,Target,Response,Correct?
0.05,1,0,,,
0.0125,1,0,,,
0.003125,1,0,2,2,1
0.00078125,1,0,,,
0.00019531,1,0,2,2,1
4.8828e-05,1,0,1,1,1
1.2207e-05,1,0,,,
3.0518e-06,1,1,2,2,1
1.2207e-05,1,1,,,
8.6317e-06,0,0,1,2,0
8.6317e-06,0,0,1,1,1
8.6317e-06,0,0,,,
6.1035e-06,0,0,1,1,1
6.1035e-06,0,0,,,
6.1035e-06,0,0,,,
4.3158e-06,0,0,1,1,1
4.3158e-06,0,1,,,
6.1035e-06,0,0,2,2,1
8.6317e-06,0,0,2,2,1
8.6317e-06,0,0,1,1,1
8.6317e-06,0,1,,,
6.1035e-06,0,0,,,
6.1035e-06,0,0,2,1,0
6.1035e-06,0,0,2,2,1
4.3158e-06,0,1,2,2,1
6.1035e-06,0,0,2,2,1
8.6317e-06,0,0,1,1,1
8.6317e-06,0,0,,,
8.6317e-06,0,1,,,
6.1035e-06,0,0,,,
Threshold:,6.4738e-06,,,,
