Probe,1050Hz,Staircase 1,,,
Delta,LeadIn?,Reversal?,Target,Response,Correct?
0.05,1,0,2,1,0
0.2,1,1,2,2,1
0.05,1,0,1,1,1
0.0125,1,0,1,1,1
0.003125,1,0,1,1,1
0.00078125,1,0,1,1,1
0.00019531,1,0,2,2,1
4.8828e-05,1,1,2,1,0
0.00019531,1,1,1,1,1
0.00013811,0,0,1,1,1
0.00013811,0,1,1,2,0
0.00019531,0,0,1,1,1
0.00019531,0,0,2,2,1
0.00019531,0,1,1,1,1
0.00013811,0,0,2,2,1
0.00013811,0,1,2,1,0
0.00019531,0,0,1,1,1
0.00019531,0,0,2,1,0
0.00027621,0,0,2,2,1
0.00027621,0,0,1,1,1
0.00027621,0,1,1,1,1
0.00019531,0,0,1,1,1
0.00019531,0,0,1,1,1
0.00019531,0,0,2,2,1
0.00013811,0,0,1,1,1
0.00013811,0,0,1,1,1
0.00013811,0,0,2,2,1
9.7656e-05,0,0,2,2,1
9.7656e-05,0,0,2,2,1
9.7656e-05,0,0,1,2,0
Threshold:,0.00020716,,,,
